Time,pm10_standard,pm25_standard,pm100_standard,Temperature,Gas,Humidity,Pressure,Altitude
1677279144,0,0,0,22.224140625,157277,29.863406567370077,996.8217250305374,137.68330684909066
1677279145,0,0,0,22.2235546875,157870,29.85774834498137,996.8189956899695,137.7063332612874
1677279146,0,0,0,22.2227734375,158467,29.85207422710575,996.8194476585697,137.70252016993587
1677279147,0,0,0,22.22375,158318,29.846545561985625,996.8245810017069,137.65921215714746
1677279148,0,0,0,22.2247265625,158768,29.84662623335085,996.8262077020574,137.64548835877676
1677279150,0,0,0,22.226875,157870,29.85802271695119,996.8210197800184,137.68925677559983
1677279151,0,0,0,22.225703125,159524,29.846706905556516,996.8208210836613,137.69093310071605
1677279152,0,0,0,22.2253125,159676,29.824239417065378,996.8201704074863,137.69642260845524
1677279153,0,0,0,22.2266796875,161368,29.818744029028203,996.8206944422744,137.69200152576838
1677279154,0,0,0,22.226875,160441,29.790722227021973,996.8192664471985,137.70404898286026
1677279156,0,0,0,22.227265625,160441,29.77954084461929,996.8216704555999,137.68376727666052
1677279157,0,0,0,22.226875,160287,29.757084160769026,996.8227731129356,137.67446458859186
1677279158,0,0,0,22.226875,163096,29.757084160769026,996.81575978185,137.73363345811882
1677279159,0,0,0,22.2262890625,161836,29.74021991328224,996.818290435699,137.71228323264236
1677279160,0,0,0,22.2253125,161680,29.745744565820953,996.8184170789402,137.7112147898624
1677279162,0,0,0,22.2251171875,162306,29.745728477165464,996.8110784304193,137.77312846901594
1677279163,0,0,0,22.22609375,162779,29.734598958760117,996.816211768058,137.72982020819273
1677279164,0,0,0,22.2266796875,162938,29.734647210065518,996.8119277818785,137.76596276102694
1677279165,0,0,0,22.22609375,162938,29.723389898869538,996.8197184292295,137.70023577903498
1677279166,0,0,0,22.2262890625,162938,29.734615042495076,996.818290435699,137.71228323264236
1677279168,0,0,0,22.225703125,164055,29.734566791390733,996.8103011072863,137.77968650126843
1677279169,0,0,0,22.2251171875,164538,29.728913910597324,996.81283175803,137.75833620732243
1677279170,0,0,0,22.22453125,165842,29.745680211400128,996.8136090767207,137.7517782260284
1677279171,0,0,0,22.2251171875,164377,29.745728477165464,996.8110784304193,137.77312846901594
1677279172,0,0,0,22.225703125,164700,29.740171654545644,996.8138077656891,137.75010195343074
1677279174,0,0,0,22.2262890625,165350,29.74021991328224,996.8165371046155,137.72707545804388
1677279175,0,0,0,22.2262890625,165187,29.74582500960122,996.8200437668798,137.69749102748347
1677279176,0,0,0,22.226875,165350,29.74026817232047,996.8192664471985,137.70404898286026
1677279177,0,0,0,22.226875,164700,29.745873276271624,996.8175131144756,137.71884121036823
1677279178,0,0,0,22.2282421875,167500,29.74038077791605,996.8215438084558,137.68483574954604
1677279179,0,0,0,22.2282421875,166336,29.745985899675805,996.818037135458,137.71442023460844
1677279181,0,0,0,22.22765625,166833,29.74593763230146,996.8153077918677,137.7374467412855
1677279182,0,0,0,22.227265625,168173,29.757116348892957,996.8234237896099,137.66897508824496
1677279183,0,0,0,22.22609375,168173,29.745808920778117,996.8267317527393,137.6410671636801
1677279184,0,0,0,22.2247265625,167668,29.734486373553707,996.831467684528,137.6011121853008
1677279185,0,0,0,22.224140625,168342,29.74564803439084,996.8269850075073,137.6389305604439
1677279187,0,0,0,22.222578125,169534,29.739914279711606,996.8261356051785,137.64609660995387
1677279188,0,0,0,22.2221875,169192,29.723068332971273,996.8237316030586,137.6663781895991
1677279189,0,0,0,22.222578125,168851,29.723100488958103,996.8296422484299,137.61651257046034
1677279190,0,0,0,22.2227734375,169534,29.71190849574066,996.8282142682152,137.6285598146135
1677279191,0,0,0,22.2212109375,169706,29.70617623605677,996.8291181732089,137.62093396212646
1677279193,0,0,0,22.220625,170397,29.700524581914223,996.8281421463945,137.62916827522025
1677279194,0,0,0,22.2184765625,170397,29.70595125709723,996.8333299367578,137.5854012224976
1677279195,0,0,0,22.2169140625,170570,29.70021930516379,996.8324804873612,137.59256763216672
1677279196,0,0,0,22.217890625,170570,29.694696457317352,996.8341072123003,137.5788437144123
1677279197,0,0,0,22.2161328125,170570,29.688948943919048,996.8329324123931,137.5887549501462
1677279199,0,0,0,22.215546875,171795,29.688900759098097,996.8337096794191,137.5821975117953
1677279200,0,0,0,22.2130078125,172325,29.694294855213535,996.8329867787096,137.588296286829
1677279201,0,0,0,22.2102734375,171971,29.694069967174286,996.8266786428561,137.6415152293349
1677279202,0,0,0,22.206953125,172680,29.693796897662004,996.8211477740832,137.68817693881002
1677279203,0,0,0,22.204609375,173755,29.699207158209735,996.8225034545736,137.67673958980228
1677279205,0,0,0,22.2028515625,173216,29.687856828615004,996.8213286077003,137.68665131518802
1677279206,0,0,0,22.2012890625,174116,29.687728354637073,996.8134660466636,137.75298492311066
1677279207,0,0,0,22.200703125,173216,29.687680177447657,996.8142432746582,137.74642771036676
1677279208,0,0,0,22.19953125,174298,29.69878948550778,996.8193042393624,137.7037301444126
1677279209,0,0,0,22.197578125,173936,29.687423237525433,996.8160507704434,137.73117848872823
1677279210,0,0,0,22.195625,174298,29.692865321552166,996.8127973046476,137.75862687923816
1677279212,0,0,0,22.194453125,173755,29.709578266862835,996.8055854933099,137.81947075086657
1677279213,0,0,0,22.192890625,174479,29.709449723009346,996.8099956980573,137.78226314458414
1677279214,0,0,0,22.1925,175026,29.72062487008891,996.8075917658712,137.8025444001162
1677279215,0,0,0,22.1925,175026,29.72062487008891,996.8058385267847,137.81733597791637
1677279216,0,0,0,22.1925,175577,29.709417587380933,996.8023320489032,137.84691919425438
1677279218,0,0,0,22.1925,175761,29.731833054951466,996.8040852877953,137.83212757596405
1677279219,0,0,0,22.192109375,176130,29.726196698996755,996.8016813603966,137.8524088884737
1677279220,0,0,0,22.190546875,175945,29.7316722770896,996.8043383081966,137.8299929107087
1677279221,0,0,0,22.189375,176688,29.737180202030594,996.8076459267079,137.80208746093058
1677279222,0,0,0,22.187421875,177436,29.73141503948245,996.8043924576402,137.8295360664365
1677279224,0,0,0,22.18703125,177436,29.736987244917508,996.8072482126522,137.80544285891258
1677279225,0,0,0,22.18625,177436,29.736922926952595,996.800687155805,137.86079674655153
1677279226,0,0,0,22.1852734375,177813,29.73123819360508,996.8008136452739,137.85972958583355
1677279227,0,0,0,22.182734375,178002,29.731029199160883,996.805350206378,137.82145580157209
1677279228,0,0,0,22.180390625,178002,29.730836286240393,996.8031992299211,137.83960301202688
